symbol,_priceFormat,_priceFormatType,_tickSize,buyFillId,sellFillId,qty,buyPrice,sellPrice,pnl,boughtTimestamp,soldTimestamp,duration
NQU3,-2,0,0.25,17923520048,17923520007,2,15362.50,15341.75,$(830.00),08/29/2023 11:34:43,08/29/2023 11:29:26,5min 16sec
NQU3,-2,0,0.25,17923520062,17923520126,2,15371.25,15372.50,$50.00,08/29/2023 11:37:21,08/29/2023 11:48:21,10min 59sec
NQU3,-2,0,0.25,17923520193,17923520137,2,15373.00,15373.25,$10.00,08/29/2023 11:50:11,08/29/2023 11:49:45,25sec
NQU3,-2,0,0.25,17923520238,17923520210,2,15370.75,15370.75,$0.00,08/29/2023 11:50:58,08/29/2023 11:50:32,26sec
NQU3,-2,0,0.25,17923520273,17923520252,48,15375.50,15375.75,$240.00,08/29/2023 11:53:10,08/29/2023 11:52:27,43sec
NQU3,-2,0,0.25,17923520301,17923520284,48,15383.50,15372.75,"$(10,320.00)",08/29/2023 11:54:37,08/29/2023 11:53:24,1min 12sec
NQU3,-2,0,0.25,17923520316,17923520325,36,15382.25,15377.50,"$(3,420.00)",08/29/2023 11:54:44,08/29/2023 11:54:59,14sec
NQU3,-2,0,0.25,17923520347,17923520338,24,15369.50,15370.50,$480.00,08/29/2023 11:55:21,08/29/2023 11:55:13,7sec
NQU3,-2,0,0.25,17923520358,17923520367,24,15371.25,15373.25,$960.00,08/29/2023 11:55:30,08/29/2023 11:55:35,5sec
NQU3,-2,0,0.25,17923520378,17923520387,24,15374.25,15374.00,$(120.00),08/29/2023 11:55:40,08/29/2023 11:56:04,24sec
NQU3,-2,0,0.25,17923520407,17923520398,24,15368.00,15369.00,$480.00,08/29/2023 11:56:18,08/29/2023 11:56:15,3sec
NQU3,-2,0,0.25,17923520427,17923520418,24,15368.25,15368.00,$(120.00),08/29/2023 11:56:32,08/29/2023 11:56:22,9sec
NQU3,-2,0,0.25,17923520438,17923520447,24,15368.00,15368.25,$120.00,08/29/2023 11:56:45,08/29/2023 11:57:12,26sec
NQU3,-2,0,0.25,17923520458,17923520493,24,15371.75,15372.00,$120.00,08/29/2023 11:58:58,08/29/2023 12:08:56,9min 58sec
NQU3,-2,0,0.25,17923520516,17923520507,24,15356.00,15356.00,$0.00,08/29/2023 12:16:35,08/29/2023 12:16:32,2sec
NQU3,-2,0,0.25,17923520543,17923520527,5,15365.25,15366.00,$75.00,08/29/2023 12:17:56,08/29/2023 12:17:36,19sec
NQU3,-2,0,0.25,17923520551,17923520527,19,15365.75,15366.00,$95.00,08/29/2023 12:17:56,08/29/2023 12:17:36,19sec
NQU3,-2,0,0.25,17923520574,17923520565,24,15363.00,15365.50,"$1,200.00",08/29/2023 12:18:38,08/29/2023 12:18:14,23sec
NQU3,-2,0,0.25,17923520585,17923520605,3,15371.75,15372.50,$45.00,08/29/2023 12:20:44,08/29/2023 12:21:06,21sec
